"alpha.water","UnityVector:0","UnityVector:1","UnityVector:2","U:0","U:1","U:2","UMag","Points:0","Points:1","Points:2"
2.8587e-24,0.58273,-0.00076403,-0.0085314,0.58273,-0.0085314,-0.00076403,0.58279,9.9375,7.7221,0.24313
3.369e-24,0.61144,0.0029618,-0.0081076,0.61144,-0.0081076,0.0029618,0.6115,7.4375,7.7221,0.24313
1.0528e-23,0.70329,0.0084758,-0.010008,0.70329,-0.010008,0.0084758,0.70341,4.9373,7.7221,0.24321
-0,1.1019,0.081358,-0.0052225,1.1019,-0.0052225,0.081358,1.1049,0.21918,7.7287,0.20302
1,0,-0,-0,0.00056164,-9.9844e-06,-3.336e-05,0,7.85,7.6539,-2.5228
0,1.0391,-0.079676,0.015139,1.0391,0.015139,-0.079676,1.0423,14.832,7.7261,0.10206
0,0.9155,-0.080246,0.020135,0.9155,0.020135,-0.080246,0.91923,14.731,7.7263,0.15164
0,0.81551,-0.049281,0.0097396,0.81551,0.0097396,-0.049281,0.81706,14.679,7.7258,0.076977
1,0,0,0,0.0030097,0.00015168,0.001767,0,14.425,7.7257,-0.072147
1,-0,0,0,-9.4701e-05,0.00021861,0.00070526,0,14.025,7.7222,-0.2674
1,0,0,-0,0.013451,-0.00029599,0.0027408,0,13.975,7.7257,-0.04731
1,0,0,0,0.00039468,1.9825e-07,0.00010765,0,13.251,7.6534,-2.4215
1,0,0,0,0.0015277,0.00037897,0.0030721,0,13.625,7.7257,-0.096911
-0,0.88192,-0.05438,0.013199,0.88192,0.013199,-0.05438,0.8837,14.401,7.6149,0.2207
-1.6335e-35,1.0147,-0.1046,-0.0040635,1.0147,-0.0040635,-0.1046,1.0201,14.975,3.7545,0.20833
-5.2044e-41,1.0133,-0.096599,0.00058084,1.0133,0.00058084,-0.096599,1.0179,14.974,1.2375,0.207
0,1.0131,-0.099341,0.00091598,1.0131,0.00091598,-0.099341,1.018,14.974,-1.2625,0.207
-2.077e-38,1.012,-0.092928,-0.00090917,1.012,-0.00090917,-0.092928,1.0163,14.975,-4.775,0.20985
1,0,0,-0,8.8997e-10,-1.6731e-06,0.00014786,0,14.92,-7.6568,-2.1174
-2.2449e-42,1.0148,-0.11592,-0.0009917,1.0148,-0.0009917,-0.11592,1.0214,14.975,-5.425,0.18202
-0,1.0151,-0.11463,0.00021302,1.0151,0.00021302,-0.11463,1.0215,14.975,-1.5875,0.18048
-0,1.015,-0.11445,-0.00095686,1.015,-0.00095686,-0.11445,1.0214,14.975,0.9125,0.18048
-6.4847e-39,1.0153,-0.12453,0.00055987,1.0153,0.00055987,-0.12453,1.0229,14.975,3.4125,0.18048
-0,1.0195,-0.12242,-0.013196,1.0195,-0.013196,-0.12242,1.0269,14.976,7.3302,0.15636
-0,1.0168,-0.13793,0.004857,1.0168,0.004857,-0.13793,1.0262,14.976,3.0375,0.15444
-0,1.0166,-0.13342,-0.00020636,1.0166,-0.00020636,-0.13342,1.0253,14.976,0.5375,0.15444
